id,name,profile_path,known_for_department,popularity
177,Margo Stilley,/nUuhYYiKp1Ii0S25PqSxQjfYKMk.jpg,Acting,0.7232
183,森本晃司,/huMsV4DE0D2pcBIvklMBtwOwDZA.jpg,Directing,1.1455
185,오토모 가츠히로,/hMxQlQa0cKLx086va8KDIyOdxO1.jpg,Writing,1.2956
187,오카무라 텐사이,/uOu6uNXRMDZKyXY47T9WTa0cbeY.jpg,Directing,0.8472
190,클린트 이스트우드,/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Acting,12.3503
192,모건 프리먼,/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,Acting,12.1714
193,진 해크먼,/wN8brfOI8AjngGchkQtFqfEPam5.jpg,Acting,2.6955
194,리처드 해리스,/lCvcVMuxrg1f5A8OMqY9AqkkcZR.jpg,Acting,2.4055
197,데이비드 실버먼,/4ia152M03hntrS7FBHveRx2VeuP.jpg,Directing,0.5707
198,댄 카스텔라네타,/AmeqWhP4A46AWkM4kVphg6jOTQX.jpg,Acting,2.2354
199,줄리 캐브너,/87kSPYlWcHvqOVEkhdqxysiAf6w.jpg,Acting,1.0068
200,낸시 카트라이트,/kJQEz3NAwHGdb2sQzAnBf1RmMV4.jpg,Acting,1.6383
201,미셸 공드리,/1IAnVsl8JgHpUirBXpsbLlWyS1y.jpg,Directing,0.6562
204,케이트 윈슬렛,/6qNnMsKtKz9si5rabpUEG85UfHp.jpg,Acting,6.6841
205,커스틴 던스트,/yhLKGjuiMMdbGnFrR8AREkCZcVF.jpg,Acting,6.3479
206,짐 캐리,/y3U9QfPN6sJaGl6l68xjwWj28ig.jpg,Acting,7.8874
207,톰 윌킨슨,/xSUohQDXuepOU2nSqtDj2us5RZo.jpg,Acting,1.95
208,Ryan Whitney,\N,Acting,0.0621
209,제인 아담스,/2FsPAoatMkUZ7khJ9r4Fa7ZxQzS.jpg,Acting,1.7523
210,Amir Ali Said,/vT8SLrl2VWoLp7qDPiHccM5nB7y.jpg,Acting,0.1697
211,Debbon Ayer,/sdpA53RJp9OyqmMhmFj2EnU2pko.jpg,Acting,0.4692
212,데이비드 크로스,/aYsbAtUu5oWk1p8RY31k3w5Emul.jpg,Acting,2.6742
213,Gerry Robert Byrne,\N,Acting,0.3465
214,Brian Price,\N,Acting,0.0261
216,Josh Flitter,/x25rkCSSkBbOn4VrhHcNcPO9wOg.jpg,Acting,0.877
220,Lola Daehler,/AakrZ8dL0kzBndwybYt4nagKVJv.jpg,Acting,0.0988
221,Lauren Adler,/z1QeHyoLn8F2fsIzQNHw0ywZNAU.jpg,Acting,0.1644
223,알레한드로 곤살레스 이냐리투,/5Mx0RilUcVjXzmeKYAZJJ0WXZMQ.jpg,Directing,1.6986
224,데이비드 크로넨버그,/3xh4e2gWHDilMLtucHzDGsmJMuQ.jpg,Directing,2.1243
225,애쉬튼 홈즈,/lJlIrsFSPilYbd4jIVa2hiCphP7.jpg,Acting,0.6721
226,Heidi Hayes,\N,Acting,0.2383
227,윌리엄 허트,/j3mjmuHLBW4XQSw53C8Sh0Lh3ZQ.jpg,Acting,4.3288
228,에드 해리스,/kUbUA70WPiosPT4kBJMWtGk0ASd.jpg,Acting,5.8851
229,Peter MacNeill,/9Y2O97Awq5BUH3qfWL3EUveurqI.jpg,Acting,0.9361
230,Stephen McHattie,/zqOwiEDXYM9AKQgHGJGeIp7QkPh.jpg,Acting,2.9668
231,Greg Bryk,/1I3SxKFvQSam6KOMT4j5f0nFxRg.jpg,Acting,1.8067
232,Kyle Schmid,/bqT7iz2jzG32axBoQzMrAvLtppQ.jpg,Acting,0.7876
233,Sumela Kay,/6KWQvzyYkEbwIQD8BgHV4blkpsO.jpg,Acting,0.274
234,Gerry Quigley,/nfnrdHOtFYhggXrpZvHF4CDAVdH.jpg,Acting,0.261
235,Deborah Drakeford,/Ars6IJvbWHboJn74cOz6F4eAoFu.jpg,Acting,0.2301
236,Bill MacDonald,/lzvzEdUiD1X9PFVyzy3Pb4VW4ax.jpg,Acting,0.2623
237,Aidan Devine,/3qrUCw73cAN0923x5jCxAiiSaJE.jpg,Acting,0.9433
240,스탠리 큐브릭,/yFT0VyIelI9aegZrsAwOG5iVP4v.jpg,Directing,2.6101
245,Keir Dullea,/5QyrGWxujX8XA3Ny3M8D18TWupi.jpg,Acting,1.1271
246,Gary Lockwood,/1tfGE7RW8GgCLEFFJUXETq9Td1T.jpg,Acting,0.6378
247,William Sylvester,/4NaExzBKqv4GPEfJ2w7S16MYS2y.jpg,Acting,0.8335
248,Daniel Richter,/cq8Fprv33RgYPwu39cGx6fxk5Qp.jpg,Acting,0.2911
249,Leonard Rossiter,/qXjGUJ2TjO3ltiEYMEJ658VeqkA.jpg,Acting,0.7562
250,Margaret Tyzack,/n7S4qtgp0DA9gtkzEXB7r5tt6jH.jpg,Acting,0.6731
251,Robert Beatty,/zsVtibd7wYlt6p6pShgOhLBMS1j.jpg,Acting,0.5266
252,Sean Sullivan,\N,Acting,0.2789
253,Douglas Rain,/wCjNcbW1u9cYc7jzlV5FPKqXGNF.jpg,Acting,0.4764
258,가엘 가르시아 베르날,/7uEO29wtdyY9bjt2JN43gVpE6vt.jpg,Acting,2.8545
259,Vanessa Bauche,/1WQaHygZ1AsRxDBcPmxL0fSLNri.jpg,Acting,0.2887
263,Emilio Echevarría,/dd97sd38NhiXlvfrL4ZpLi138Dk.jpg,Acting,0.3283
270,Adriana Barraza,/kfww4YbO9J2HpCldEqyyhQugwy5.jpg,Acting,1.1981
275,로드리고 프리에토,/h05yRvGOoLk0s9RTwOQL9pVuU23.jpg,Camera,0.4757
280,테리 길리엄,/7qBkaXxANmnb6hqQCBc4iWqXEL6.jpg,Directing,1.555
287,브래드 피트,/9OfnD7lxgIj3BNQpJFnwxnwl6w5.jpg,Acting,14.7447
288,존 세다,/4Wwgtvieu2j4f6AHqUMgnDFufa5.jpg,Acting,1.8941
289,매들린 스토우,/k7iQLoCP11e7iVMp1LQimUQLZe8.jpg,Acting,1.7323
290,크리스토퍼 플러머,/u0YBwss0ebEUp8sjRtQKnK2wZdR.jpg,Acting,3.556
291,Frank Gorshin,/lGRDnt0HlOI3BGOLD5mFUwNi6QI.jpg,Acting,1.1673
292,Frederick Strother,/z6o5nvTg6qjLGj3WkQiact5mivz.jpg,Acting,0.2781
298,Chris Bender,/kNgEirIudu5xJfmwc9i9fN8aEJE.jpg,Production,0.3407
309,페드로 알모도바르,/dKlaXJk3NLcsC1CKMx6xmyW5BZD.jpg,Directing,2.101
312,Jon Brion,/htnF4i2bQlcaAbYunUW7P58r3rh.jpg,Sound,0.2937
323,커티스 핸슨,/rKKITJSuqKtkGy9QeCTyeMpp5pH.jpg,Directing,0.7504
325,에미넴,/bRrrk9r1cYG6KVnYzjwYGT0g1Qi.jpg,Acting,1.8299
326,킴 베이싱어,/iqQ4o2sRna7J1Z9KkB9Avp9CIsk.jpg,Acting,2.929
327,메키 파이퍼,/jCvF0bpi9emIWBnu20MCMU0bwrf.jpg,Acting,2.3746
328,브리트니 머피,/uLOrqcSk2h5o3ekNfcuGFDzN13W.jpg,Acting,3.7653
333,Evan Jones,/di76O2M5Jblg4pbFo4gqmTraqsd.jpg,Acting,1.3359
334,오마 벤슨 밀러,/adlrkEpxDIcpxF7bpzMGErLxeHP.jpg,Acting,1.5233
335,마이클 섀넌,/6mMczfjM8CiS1WuBOgo5Xom1TcR.jpg,Acting,4.4971
336,Xzibit,/qhwJ7hZH4ErQSu2mXwSur4AAD0H.jpg,Acting,0.7769
337,Proof,/aBaGTqbtqfwQJGKdTyMVQ7YJ5G6.jpg,Acting,0.1842
338,Obie Trice,/nN60StP0m8AOiBr5NOweepiyinx.jpg,Acting,0.1921
341,De'Angelo Wilson,/wdR9xye5No1vwMFPI8Xyl01DdSM.jpg,Acting,0.4015
342,Eugene Byrd,/4Vs64bmZC4MgOnwIhGEeZWUw7q1.jpg,Acting,1.4756
343,Taryn Manning,/obE0w8SVx7Hq773KY2DCxK1j2GF.jpg,Acting,1.4438
344,Larry Hudson,\N,Acting,0.0478
345,DJ Head,/lONrDAHYPAjGILXzWCMglrtaqh4.jpg,Acting,0.0421
346,Mike Bell,/jto31jgYo48AF52aTQnhLMNTn9Q.jpg,Acting,0.4784
349,스콧 글렌,/8DHORod2l6ZFS9KR0gNAAM3WZfI.jpg,Acting,3.8241
350,로라 리니,/yIopIq7l7eIvjoQqnZJkpdQEvds.jpg,Acting,3.5541
351,주디 데이비스,/yAwsKkca91QJdsf1suUm637mwUx.jpg,Acting,1.479
352,데니스 헤스버트,/lcnjaw2CFN6q9eaes1jTYrUB0rb.jpg,Acting,3.0011
366,제임스 맨골드,/pk0GDjn99crNwR4qgCCEokDYd71.jpg,Directing,2.5029
368,리즈 위더스푼,/mfjunuTHrd0wnh8UG1ImMN9FSws.jpg,Acting,4.8421
374,Charles McKeown,/o6CHlAgXMT31ibbXeqJAMypiCXE.jpg,Acting,0.5508
376,아넌 밀천,/b2hBExX4NnczNAnLuTBF4kmNhZm.jpg,Production,1.3318
378,조너선 프라이스,/zwSv5uXzPTtmitFe39UdqnVwmdL.jpg,Acting,2.8519
380,로버트 드 니로,/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg,Acting,7.8388
381,Katherine Helmond,/ewqxAgTyclJLwQi4WWU5QZiCM0Q.jpg,Acting,1.8578
382,밥 호스킨스,/qOeE7bVHAsNTbP77Qk6TwrrWHZc.jpg,Acting,1.6935
383,마이클 페일린,/7qCp6M2NxMWpUmO2t6IqHGNlBjz.jpg,Acting,1.3339
385,Ian Richardson,/e90jCJwnzjnxXstcdPrVZOtLUpp.jpg,Acting,0.9116
386,피터 본핸,/pqblKGyukQmyTbMTAhFG1B2mgFq.jpg,Acting,1.5582
387,Kim Greist,/zYMORBHyCcXbbchiKGhhrnJyoix.jpg,Acting,0.7659
388,짐 브로드벤트,/s7lXYfrsJoGA4vKmyv61SPgABmR.jpg,Acting,3.0029
389,Alison Eastwood,/j9TgJtfZ2uSx2C6WM0WYtRmBOyG.jpg,Acting,1.1756
400,제랄딘 채플린,/hu9GC4GaJhgsjz99IrmO5YnzHiC.jpg,Acting,3.6714
404,Melora Hardin,/ymH5zoBrtEfFWIkgKAhiEbtiAg4.jpg,Acting,2.1997
408,James Keach,/7m1q8jK2fJCYCP8i9ks6e2pQJ6q.jpg,Acting,0.807
410,John Carter Cash,/kdNJbbppGmd0IS1nJLGZFZC2k9c.jpg,Acting,0.1973
417,지니퍼 굿윈,/n8XOnjgyfYvqRUDcnkAckRqSaNN.jpg,Acting,2.7228
418,로버트 패트릭,/qRv2Es9rZoloullTbzss3I5j1Mp.jpg,Acting,4.2986
419,Tyler Hilton,/yfk5SWEmbdhmk1rC4vEujczAoB0.jpg,Acting,0.5495
420,Johnathan Rice,/qjoyRzAGmFHbyrtL3MBCz9B2ETM.jpg,Acting,0.1126
421,Shooter Jennings,/tAhCFZbrJapI79sRBZeVZ7dQkmL.jpg,Acting,0.2018
422,Waylon Payne,\N,Acting,0.2259
424,Dallas Roberts,/b7jMTaNJ9aBTXXy7gdwqn9jb6EF.jpg,Acting,2.4533
425,Dan John Miller,/8hMyA2do8GLluDpulLFt1NESgHV.jpg,Acting,0.2154
426,Larry Bagby,/43N0fBlRV7NFnggRsIQ1s7McFMO.jpg,Acting,0.6632
427,Sandra Ellis Lafferty,/tlkmEzWjwaw6i8rBPE71yVJzhw9.jpg,Acting,0.4723
428,Dan Beene,\N,Acting,0.2354
429,루커스 틸,/5m8xgsOgT3FgCBo2AsMn7dewe57.jpg,Acting,2.3189
430,Hailey Anne Nelson,/4YoyDcZkY4gjejZasFTd5HJ2on5.jpg,Acting,0.143
431,Victoria Hester,/3WQ4sas324GQx56DAwSkoZ0VwgJ.jpg,Acting,0.0646
434,Lisa Beach,\N,Production,0.3797
